Player,Pk,Age at Draft,Height (in),MPG-NBA,AST-NBA,TOV-NBA,AST/TOV-NBA,AST%-NBA,TOV%-NBA,MPG-Col,AST-Col,TOV-Col,AST/TOV-Col,AST%-Col,TOV%-Col,SOS-Col
Tyler Ennis,18,19.311,74,12.6,1.9,0.9,2.1,22.8,17.5,35.7,5.5,1.7,3.2,32.3,11.9,7.25
Archie Goodwin,29,18.319,77,14.5,1.2,1.2,1.0,13.7,16.8,31.8,2.7,3.1,0.9,16.8,18.1,5.78
Kendall Marshall,13,20.319,76,19.3,4.9,1.8,2.7,37.1,25.8,28.8,8.0,2.6,3.1,43.2,28.5,8.61
Kris Dunn,5,22.103,75,22.0,3.8,1.8,2.1,26.8,18.5,31.5,5.8,3.3,1.8,40.3,21.6,8.09
Xavier Henry,12,19.106,78,15.7,0.6,0.8,0.8,6.5,11.3,27.5,1.5,1.9,0.8,9.8,14.4,8.25
Elliot Williams,22,21.009,76,13.5,0.9,0.7,1.3,9.8,13.0,24.9,2.2,1.9,1.2,18.5,16.4,6.36
Malik Beasley,19,19.214,77,8.9,0.5,0.4,1.3,8.0,10.6,29.8,1.5,1.7,0.9,9.8,11.5,8.16
Derrick White,29,22.361,77,8.2,0.5,0.4,1.3,9.3,12.6,32.8,4.4,2.4,1.8,28.6,14.2,6.00
Jordan Adams,22,19.358,77,8.2,0.6,0.5,1.2,11.4,13.3,30.2,2.1,1.4,1.5,13.1,8.9,7.72
Dominique Jones,25,21.257,76,9.3,1.8,1.0,1.8,29.2,21.7,36.5,3.5,2.6,1.3,26.5,13.2,7.32
R.J. Hunter,28,21.249,78,8.4,0.4,0.3,1.3,6.3,9.6,34.7,2.4,1.7,1.4,15.0,9.7,-2.33
Jared Cunningham,24,21.043,76,7.2,0.5,0.4,1.3,9.3,13.2,27.9,2.0,2.6,0.8,14.7,18.5,4.73
Markelle Fultz,1,19.029,76,18.1,3.8,1.2,3.2,31.3,12.4,35.7,5.9,3.2,1.8,35.5,13.4,6.82
Javaris Crittenton,19,19.184,77,16.4,1.8,1.2,1.5,16.8,18.5,31.3,5.8,3.9,1.5,32.3,22.9,9.36
J.R. Giddens,30,23.139,77,6.5,0.3,0.5,0.6,7.9,19.8,29.0,1.9,1.9,1.0,13.6,13.3,6.22
C.J. Wilcox,28,23.184,77,5.7,0.5,0.3,1.7,11.8,11.2,28.5,1.6,1.4,1.1,11.9,9.8,6.67
Julius Hodge,20,21.228,79,4.3,0.8,0.5,1.6,26.7,26.6,33.0,3.5,2.6,1.3,23.3,15.7,8.87
Quincy Douby,19,22.048,75,10.7,0.7,0.6,1.2,9.9,12.5,32.1,2.7,2.2,1.2,21.5,12.0,6.93
Marcus Williams,22,20.212,75,15.2,2.8,1.5,1.9,30.4,19.8,27.9,7.3,3.2,2.3,43.3,27.0,7.32
Morris Almond,25,22.151,78,9.5,0.3,0.5,0.6,4.9,12.9,27.1,1.0,2.2,0.5,10.4,14.7,2.25
Wade Baldwin,17,20.091,75,12.1,1.7,1.1,1.5,20.6,21.5,29.6,4.8,2.3,2.1,32.4,18.7,7.45
Malachi Richardson,22,20.175,78,10.9,0.5,0.4,1.3,6.8,9.3,34.4,2.1,2.1,1.0,12.8,14.0,9.75
